scenario,trial,lambda,lambda_rmse,lambda_relative_mae,measurement_rmse,measurement_relative_mae,sicc_rmse,sicc_relative_mae,lambda_detection_rate,sicc_detection_rate
P1_5sigma,200046,7.742636826811277,0.35044030403941745,0.06512603485253322,0.3513119967115184,0.06952026754457583,0.3501322901255835,0.06469496008695326,0.0,0.0
P1_5sigma,200047,0.12915496650148828,0.4323707140791437,0.10310329699681504,0.42856248014024534,0.0749558744505959,0.4335205573006314,0.10736622738433242,0.0,0.0
P1_5sigma,200048,0.12915496650148828,0.5396438206502956,0.1001928042308579,0.5475634658255923,0.1361057296669716,0.5654074494915146,0.18292885689048846,0.0,0.0
P1_5sigma,200049,0.12915496650148828,0.43120231696820066,0.08445572274940581,0.4274561294824599,0.0562943828443591,0.4324800365798384,0.08916013313718565,0.0,0.0
P1_5sigma,200050,0.12915496650148828,0.5547349474316042,0.1403108243972729,0.5473266056735219,0.09078137430469665,0.5568734924378035,0.14685705964377124,0.0,0.0
P1_5sigma,200051,7.742636826811277,0.7850566430333473,0.11406288085417501,0.7850100958078148,0.113598856719843,0.7856072819058887,0.11868991038636056,0.0,0.0
P1_5sigma,200052,0.12915496650148828,0.2591492920977902,0.08105993128387405,0.250068624043538,0.04316316258317321,0.2620767573549711,0.08658929367980639,0.0,0.0
P1_5sigma,200053,0.12915496650148828,0.21273080248424114,0.04931965441187191,0.22016164630444687,0.06909853770867304,0.21420190357569355,0.055887619191923865,0.0,0.0
P1_5sigma,200054,7.742636826811277,0.36181254235277727,0.06831634777578466,0.3615845338221803,0.06622329813938889,0.3650730893624948,0.08477141111512831,0.0,0.0
P1_5sigma,200055,5.994842503189409e-07,0.5665965280289772,0.1165221046410438,0.5651789954948667,0.10118516932248896,0.5665930413010407,0.11653131669948115,0.0,0.0
P1_5sigma,200056,7.742636826811277,0.626690819481774,0.11902478507160817,0.6290755091884017,0.12759073124142553,0.6471127544722058,0.14763579297148247,0.0,0.0
P1_5sigma,200057,7.742636826811277,0.4328413490832713,0.08353008607508991,0.432537451719557,0.08056044935324991,0.4372403231971429,0.10521332730142588,0.0,0.0
P1_5sigma,200058,7.742636826811277,0.15971830658595254,0.06617714791630552,0.15961876786714568,0.06573161335157826,0.16020554241666068,0.06787001334595014,0.0,0.0
P1_10sigma,300000,0.12915496650148828,0.23983097790724744,0.09055662822184385,0.21082717287460245,0.028348189745032677,0.2612750303112488,0.07907672313202106,0.0,0.0
P1_10sigma,300001,7.742636826811277,0.36304375722463444,0.11411522691497909,0.36167444458584175,0.11165461429516303,0.3761966995120835,0.134037827256078,0.0,0.0
P1_10sigma,300002,0.12915496650148828,0.42321307252312285,0.11833288125886994,0.41426585386712855,0.07855302994041026,0.43867302319075907,0.12648123389055738,0.0,0.0
P1_10sigma,300003,0.12915496650148828,0.2730364664198022,0.08900551283408306,0.28125467539854065,0.09255858095116411,0.3860971705541875,0.12741501521947524,0.0,0.0
P1_10sigma,300004,7.742636826811277,0.8114372240508957,0.16927048097697658,0.814680786992827,0.1835620795865722,0.8516257620748074,0.2659858690068641,0.0,0.0
P1_10sigma,300005,7.742636826811277,0.3641330583078307,0.08286914280290311,0.362549534164042,0.07613262797061705,0.3890317036177145,0.13270946582301774,0.0,0.0
P1_10sigma,300006,7.742636826811277,0.42828969192216937,0.07016696412182297,0.42956051093667863,0.08027272061572943,0.4608685654131266,0.10207951184090559,0.0,0.0
P1_10sigma,300007,7.742636826811277,0.820674930962597,0.15535537026390286,0.8199952997949155,0.15012119956526696,0.8300445640736936,0.19630697660521618,0.0,0.0
P1_10sigma,300008,0.12915496650148828,0.5935290619354145,0.14426717392702806,0.5826142451902678,0.08688003252423944,0.5965042494116141,0.1520712480705491,0.0,0.0
P1_10sigma,300009,7.742636826811277,0.8260451998838892,0.09907232819014297,0.8265125197969504,0.10844072027039837,0.8356292880752169,0.16385371887002176,0.0,0.0
P1_10sigma,300010,0.12915496650148828,0.4173826630905234,0.09843211526967552,0.4259844792142015,0.11112246014803644,0.4884636995154703,0.14291345260872582,0.0,0.0
P1_10sigma,300011,0.12915496650148828,0.6048043468602644,0.17560115671895396,0.589205906258774,0.11267303839877983,0.569852396652188,0.11096082076813725,0.0,1.0
P1_10sigma,300012,0.12915496650148828,0.8461161777697532,0.18952153267281643,0.8390400860378908,0.13282097698543807,0.8464427030523886,0.18672145849611296,0.0,0.0
P1_10sigma,300013,5.994842503189409e-07,0.25837365522729944,0.09293009032993295,0.23486133759191,0.038493224024402195,0.2583778345411242,0.09293381049552715,0.0,0.0
P1_10sigma,300014,0.12915496650148828,0.49952941340504325,0.11317658261977202,0.5039563418915419,0.11738378544176555,0.5609588123832245,0.1990409818068116,0.0,0.0
P1_10sigma,300015,7.742636826811277,0.43347377254501573,0.11268947475422732,0.4406843049499508,0.1272827642298248,0.5082624054136289,0.2104158176914991,0.0,0.0
P1_10sigma,300016,0.12915496650148828,0.39055454039425513,0.10904057213366469,0.39055208135308944,0.10741566317560135,0.38984172021429747,0.11115396125408802,0.0,0.0
P1_10sigma,300017,0.12915496650148828,0.4308699459412017,0.12384543533565386,0.4361526023928375,0.12740331404033992,0.5137914500652241,0.21754474999578274,0.0,0.0
